I (414) example: Throttle: 0 | Pitch: -6.14
I (5784) example: Throttle: 210 | Pitch: -6.47
I (5794) example: Throttle: 210 | Pitch: -6.45
I (5804) example: Throttle: 210 | Pitch: -6.47
I (5814) example: Throttle: 220 | Pitch: -6.49
I (5824) example: Throttle: 220 | Pitch: -6.45
I (5834) example: Throttle: 220 | Pitch: -6.49
I (5844) example: Throttle: 220 | Pitch: -6.50
I (5854) example: Throttle: 220 | Pitch: -6.52
I (5864) example: Throttle: 220 | Pitch: -6.50
I (5874) example: Throttle: 220 | Pitch: -6.52
I (5884) example: Throttle: 220 | Pitch: -6.54
I (5894) example: Throttle: 220 | Pitch: -6.50
I (5904) example: Throttle: 220 | Pitch: -6.56
I (5914) example: Throttle: 220 | Pitch: -6.50
I (5924) example: Throttle: 220 | Pitch: -6.52
I (5934) example: Throttle: 220 | Pitch: -6.53
I (5944) example: Throttle: 220 | Pitch: -6.54
I (5954) example: Throttle: 220 | Pitch: -6.56
I (5964) example: Throttle: 220 | Pitch: -6.52
I (5974) example: Throttle: 220 | Pitch: -6.57
I (5984) example: Throttle: 220 | Pitch: -6.54
I (5994) example: Throttle: 220 | Pitch: -6.53
I (6004) example: Throttle: 220 | Pitch: -6.55
I (6014) example: Throttle: 230 | Pitch: -6.53
I (6024) example: Throttle: 230 | Pitch: -6.56
I (6034) example: Throttle: 230 | Pitch: -6.52
I (6044) example: Throttle: 230 | Pitch: -6.56
I (6054) example: Throttle: 230 | Pitch: -6.54
I (6064) example: Throttle: 230 | Pitch: -6.54
I (6074) example: Throttle: 230 | Pitch: -6.59
I (6084) example: Throttle: 230 | Pitch: -6.56
I (6094) example: Throttle: 230 | Pitch: -6.56
I (6104) example: Throttle: 230 | Pitch: -6.53
I (6114) example: Throttle: 230 | Pitch: -6.52
I (6124) example: Throttle: 230 | Pitch: -6.57
I (6134) example: Throttle: 230 | Pitch: -6.53
I (6144) example: Throttle: 230 | Pitch: -6.54
I (6154) example: Throttle: 230 | Pitch: -6.45
I (6164) example: Throttle: 230 | Pitch: -6.42
I (6174) example: Throttle: 230 | Pitch: -6.47
I (6184) example: Throttle: 230 | Pitch: -6.39
I (6194) example: Throttle: 230 | Pitch: -6.43
I (6204) example: Throttle: 230 | Pitch: -6.51
I (6214) example: Throttle: 240 | Pitch: -6.40
I (6224) example: Throttle: 240 | Pitch: -6.44
I (6234) example: Throttle: 240 | Pitch: -6.38
I (6244) example: Throttle: 240 | Pitch: -6.36
I (6254) example: Throttle: 240 | Pitch: -6.41
I (6264) example: Throttle: 240 | Pitch: -6.30
I (6274) example: Throttle: 240 | Pitch: -6.32
I (6284) example: Throttle: 240 | Pitch: -6.37
I (6294) example: Throttle: 240 | Pitch: -6.32
I (6304) example: Throttle: 240 | Pitch: -6.36
I (6314) example: Throttle: 240 | Pitch: -6.40
I (6324) example: Throttle: 240 | Pitch: -6.33
I (6334) example: Throttle: 240 | Pitch: -6.38
I (6344) example: Throttle: 240 | Pitch: -6.31
I (6354) example: Throttle: 240 | Pitch: -6.27
I (6364) example: Throttle: 240 | Pitch: -6.38
I (6374) example: Throttle: 240 | Pitch: -6.30
I (6384) example: Throttle: 240 | Pitch: -6.26
I (6394) example: Throttle: 240 | Pitch: -6.34
I (6404) example: Throttle: 240 | Pitch: -6.31
I (6414) example: Throttle: 250 | Pitch: -6.26
I (6424) example: Throttle: 250 | Pitch: -6.31
I (6434) example: Throttle: 250 | Pitch: -6.22
I (6444) example: Throttle: 250 | Pitch: -6.23
I (6454) example: Throttle: 250 | Pitch: -6.27
I (6464) example: Throttle: 250 | Pitch: -6.13
I (6474) example: Throttle: 250 | Pitch: -6.15
I (6484) example: Throttle: 250 | Pitch: -6.31
I (6494) example: Throttle: 250 | Pitch: -6.19
I (6504) example: Throttle: 250 | Pitch: -6.28
I (6514) example: Throttle: 250 | Pitch: -6.32
I (6524) example: Throttle: 250 | Pitch: -6.14
I (6534) example: Throttle: 250 | Pitch: -6.22
I (6544) example: Throttle: 250 | Pitch: -6.31
I (6554) example: Throttle: 250 | Pitch: -6.22
I (6564) example: Throttle: 250 | Pitch: -6.21
I (6574) example: Throttle: 250 | Pitch: -6.30
I (6584) example: Throttle: 250 | Pitch: -6.21
I (6594) example: Throttle: 250 | Pitch: -6.15
I (6604) example: Throttle: 250 | Pitch: -6.33
I (6614) example: Throttle: 260 | Pitch: -6.33
I (6624) example: Throttle: 260 | Pitch: -6.25
I (6634) example: Throttle: 260 | Pitch: -6.41
I (6644) example: Throttle: 260 | Pitch: -6.34
I (6654) example: Throttle: 260 | Pitch: -6.22
I (6664) example: Throttle: 260 | Pitch: -6.42
I (6674) example: Throttle: 260 | Pitch: -6.42
I (6684) example: Throttle: 260 | Pitch: -6.28
I (6694) example: Throttle: 260 | Pitch: -6.51
I (6704) example: Throttle: 260 | Pitch: -6.62
I (6714) example: Throttle: 260 | Pitch: -6.51
I (6724) example: Throttle: 260 | Pitch: -6.47
I (6734) example: Throttle: 260 | Pitch: -6.70
I (6744) example: Throttle: 260 | Pitch: -6.54
I (6754) example: Throttle: 260 | Pitch: -6.41
I (6764) example: Throttle: 260 | Pitch: -6.72
I (6774) example: Throttle: 260 | Pitch: -6.75
I (6784) example: Throttle: 260 | Pitch: -6.61
I (6794) example: Throttle: 260 | Pitch: -6.73
I (6804) example: Throttle: 260 | Pitch: -7.01
I (6814) example: Throttle: 270 | Pitch: -6.81
I (6824) example: Throttle: 270 | Pitch: -6.71
I (6834) example: Throttle: 270 | Pitch: -7.07
I (6844) example: Throttle: 270 | Pitch: -7.08
I (6854) example: Throttle: 270 | Pitch: -6.93
I (6864) example: Throttle: 270 | Pitch: -7.14
I (6874) example: Throttle: 270 | Pitch: -7.34
I (6884) example: Throttle: 270 | Pitch: -7.16
I (6894) example: Throttle: 270 | Pitch: -7.04
I (6904) example: Throttle: 270 | Pitch: -7.43
I (6914) example: Throttle: 270 | Pitch: -7.45
I (6924) example: Throttle: 270 | Pitch: -7.38
I (6934) example: Throttle: 270 | Pitch: -7.34
I (6944) example: Throttle: 270 | Pitch: -7.62
I (6954) example: Throttle: 270 | Pitch: -7.59
I (6964) example: Throttle: 270 | Pitch: -7.45
I (6974) example: Throttle: 270 | Pitch: -7.44
I (6984) example: Throttle: 270 | Pitch: -7.60
I (6994) example: Throttle: 270 | Pitch: -7.62
I (7004) example: Throttle: 270 | Pitch: -7.56
I (7014) example: Throttle: 280 | Pitch: -7.44
I (7024) example: Throttle: 280 | Pitch: -7.62
I (7034) example: Throttle: 280 | Pitch: -7.63
I (7044) example: Throttle: 280 | Pitch: -7.41
I (7054) example: Throttle: 280 | Pitch: -7.38
I (7064) example: Throttle: 280 | Pitch: -7.45
I (7074) example: Throttle: 280 | Pitch: -7.45
I (7084) example: Throttle: 280 | Pitch: -7.36
I (7094) example: Throttle: 280 | Pitch: -7.34
I (7104) example: Throttle: 280 | Pitch: -7.41
I (7114) example: Throttle: 280 | Pitch: -7.40
I (7124) example: Throttle: 280 | Pitch: -7.33
I (7134) example: Throttle: 280 | Pitch: -7.33
I (7144) example: Throttle: 280 | Pitch: -7.40
I (7154) example: Throttle: 280 | Pitch: -7.39
I (7164) example: Throttle: 280 | Pitch: -7.37
I (7174) example: Throttle: 280 | Pitch: -7.33
I (7184) example: Throttle: 280 | Pitch: -7.35
I (7194) example: Throttle: 280 | Pitch: -7.39
I (7204) example: Throttle: 280 | Pitch: -7.31
I (7214) example: Throttle: 290 | Pitch: -7.28
I (7224) example: Throttle: 290 | Pitch: -7.28
I (7234) example: Throttle: 290 | Pitch: -7.38
I (7244) example: Throttle: 290 | Pitch: -7.38
I (7254) example: Throttle: 290 | Pitch: -7.24
I (7264) example: Throttle: 290 | Pitch: -7.23
I (7274) example: Throttle: 290 | Pitch: -7.39
I (7284) example: Throttle: 290 | Pitch: -7.33
I (7294) example: Throttle: 290 | Pitch: -7.30
I (7304) example: Throttle: 290 | Pitch: -7.27
I (7314) example: Throttle: 290 | Pitch: -7.23
I (7324) example: Throttle: 290 | Pitch: -7.26
I (7334) example: Throttle: 290 | Pitch: -7.27
I (7344) example: Throttle: 290 | Pitch: -7.24
I (7354) example: Throttle: 290 | Pitch: -7.19
I (7364) example: Throttle: 290 | Pitch: -7.18
I (7374) example: Throttle: 290 | Pitch: -7.19
I (7384) example: Throttle: 290 | Pitch: -7.22
I (7394) example: Throttle: 290 | Pitch: -7.16
I (7404) example: Throttle: 290 | Pitch: -7.17
I (7414) example: Throttle: 300 | Pitch: -7.18
I (7424) example: Throttle: 300 | Pitch: -7.18
I (7434) example: Throttle: 300 | Pitch: -7.16
I (7444) example: Throttle: 300 | Pitch: -7.12
I (7454) example: Throttle: 300 | Pitch: -7.11
I (7464) example: Throttle: 300 | Pitch: -7.04
I (7474) example: Throttle: 300 | Pitch: -7.03
I (7484) example: Throttle: 300 | Pitch: -7.03
I (7494) example: Throttle: 300 | Pitch: -7.01
I (7504) example: Throttle: 300 | Pitch: -6.99
I (7514) example: Throttle: 300 | Pitch: -6.96
I (7524) example: Throttle: 300 | Pitch: -6.98
I (7534) example: Throttle: 300 | Pitch: -6.99
I (7544) example: Throttle: 300 | Pitch: -6.95
I (7554) example: Throttle: 300 | Pitch: -6.90
I (7564) example: Throttle: 300 | Pitch: -6.94
I (7574) example: Throttle: 300 | Pitch: -6.85
I (7584) example: Throttle: 300 | Pitch: -6.87
I (7594) example: Throttle: 300 | Pitch: -6.86
I (7604) example: Throttle: 300 | Pitch: -6.88
I (7614) example: Throttle: 310 | Pitch: -6.93
I (7624) example: Throttle: 310 | Pitch: -6.91
I (7634) example: Throttle: 310 | Pitch: -6.79
I (7644) example: Throttle: 310 | Pitch: -6.75
I (7654) example: Throttle: 310 | Pitch: -6.76
I (7664) example: Throttle: 310 | Pitch: -6.80
I (7674) example: Throttle: 310 | Pitch: -6.76
I (7684) example: Throttle: 310 | Pitch: -6.82
I (7694) example: Throttle: 310 | Pitch: -6.73
I (7704) example: Throttle: 310 | Pitch: -6.68
I (7714) example: Throttle: 310 | Pitch: -6.71
I (7724) example: Throttle: 310 | Pitch: -6.69
I (7734) example: Throttle: 310 | Pitch: -6.78
I (7744) example: Throttle: 310 | Pitch: -6.77
I (7754) example: Throttle: 310 | Pitch: -6.77
I (7764) example: Throttle: 310 | Pitch: -6.60
I (7774) example: Throttle: 310 | Pitch: -6.52
I (7784) example: Throttle: 310 | Pitch: -6.53
I (7794) example: Throttle: 310 | Pitch: -6.57
I (7804) example: Throttle: 310 | Pitch: -6.62
I (7814) example: Throttle: 320 | Pitch: -6.67
I (7824) example: Throttle: 320 | Pitch: -6.58
I (7834) example: Throttle: 320 | Pitch: -6.46
I (7844) example: Throttle: 320 | Pitch: -6.49
I (7854) example: Throttle: 320 | Pitch: -6.52
I (7864) example: Throttle: 320 | Pitch: -6.56
I (7874) example: Throttle: 320 | Pitch: -6.63
I (7884) example: Throttle: 320 | Pitch: -6.66
I (7894) example: Throttle: 320 | Pitch: -6.61
I (7904) example: Throttle: 320 | Pitch: -6.51
I (7914) example: Throttle: 320 | Pitch: -6.46
I (7924) example: Throttle: 320 | Pitch: -6.49
I (7934) example: Throttle: 320 | Pitch: -6.55
I (7944) example: Throttle: 320 | Pitch: -6.59
I (7954) example: Throttle: 320 | Pitch: -6.64
I (7964) example: Throttle: 320 | Pitch: -6.70
I (7974) example: Throttle: 320 | Pitch: -6.61
I (7984) example: Throttle: 320 | Pitch: -6.60
I (7994) example: Throttle: 320 | Pitch: -6.54
I (8004) example: Throttle: 320 | Pitch: -6.58
I (8014) example: Throttle: 330 | Pitch: -6.61
I (8024) example: Throttle: 330 | Pitch: -6.64
I (8034) example: Throttle: 330 | Pitch: -6.75
I (8044) example: Throttle: 330 | Pitch: -6.81
I (8054) example: Throttle: 330 | Pitch: -6.77
I (8064) example: Throttle: 330 | Pitch: -6.68
I (8074) example: Throttle: 330 | Pitch: -6.57
I (8084) example: Throttle: 330 | Pitch: -6.44
I (8094) example: Throttle: 330 | Pitch: -6.46
I (8104) example: Throttle: 330 | Pitch: -6.50
I (8114) example: Throttle: 330 | Pitch: -6.53
I (8124) example: Throttle: 330 | Pitch: -6.58
I (8134) example: Throttle: 330 | Pitch: -6.65
I (8144) example: Throttle: 330 | Pitch: -6.72
I (8154) example: Throttle: 330 | Pitch: -6.73
I (8164) example: Throttle: 330 | Pitch: -6.65
I (8174) example: Throttle: 330 | Pitch: -6.57
I (8184) example: Throttle: 330 | Pitch: -6.50
I (8194) example: Throttle: 330 | Pitch: -6.44
I (8204) example: Throttle: 330 | Pitch: -6.46
I (8214) example: Throttle: 340 | Pitch: -6.47
I (8224) example: Throttle: 340 | Pitch: -6.52
I (8234) example: Throttle: 340 | Pitch: -6.59
I (8244) example: Throttle: 340 | Pitch: -6.71
I (8254) example: Throttle: 340 | Pitch: -6.75
I (8264) example: Throttle: 340 | Pitch: -6.80
I (8274) example: Throttle: 340 | Pitch: -6.80
I (8284) example: Throttle: 340 | Pitch: -6.71
I (8294) example: Throttle: 340 | Pitch: -6.58
I (8304) example: Throttle: 340 | Pitch: -6.52
I (8314) example: Throttle: 340 | Pitch: -6.46
I (8324) example: Throttle: 340 | Pitch: -6.28
I (8334) example: Throttle: 340 | Pitch: -6.19
I (8344) example: Throttle: 340 | Pitch: -6.12
I (8354) example: Throttle: 340 | Pitch: -6.19
I (8364) example: Throttle: 340 | Pitch: -6.16
I (8374) example: Throttle: 340 | Pitch: -6.20
I (8384) example: Throttle: 340 | Pitch: -6.27
I (8394) example: Throttle: 340 | Pitch: -6.37
I (8404) example: Throttle: 340 | Pitch: -6.47
I (8414) example: Throttle: 350 | Pitch: -6.56
I (8424) example: Throttle: 350 | Pitch: -6.62
I (8434) example: Throttle: 350 | Pitch: -6.59
I (8444) example: Throttle: 350 | Pitch: -6.54
I (8454) example: Throttle: 350 | Pitch: -6.42
I (8464) example: Throttle: 350 | Pitch: -6.33
I (8474) example: Throttle: 350 | Pitch: -6.31
I (8484) example: Throttle: 350 | Pitch: -6.27
I (8494) example: Throttle: 350 | Pitch: -6.17
I (8504) example: Throttle: 350 | Pitch: -6.00
I (8514) example: Throttle: 350 | Pitch: -5.91
I (8524) example: Throttle: 350 | Pitch: -5.82
I (8534) example: Throttle: 350 | Pitch: -5.85
I (8544) example: Throttle: 350 | Pitch: -5.91
I (8554) example: Throttle: 350 | Pitch: -6.04
I (8564) example: Throttle: 350 | Pitch: -6.10
I (8574) example: Throttle: 350 | Pitch: -6.16
I (8584) example: Throttle: 350 | Pitch: -6.23
I (8594) example: Throttle: 350 | Pitch: -6.29
I (8604) example: Throttle: 350 | Pitch: -6.37
I (8614) example: Throttle: 360 | Pitch: -6.46
I (8624) example: Throttle: 360 | Pitch: -6.49
I (8634) example: Throttle: 360 | Pitch: -6.59
I (8644) example: Throttle: 360 | Pitch: -6.72
I (8654) example: Throttle: 360 | Pitch: -6.78
I (8664) example: Throttle: 360 | Pitch: -6.88
I (8674) example: Throttle: 360 | Pitch: -6.91
I (8684) example: Throttle: 360 | Pitch: -6.97
I (8694) example: Throttle: 360 | Pitch: -6.99
I (8704) example: Throttle: 360 | Pitch: -6.99
I (8714) example: Throttle: 360 | Pitch: -6.96
I (8724) example: Throttle: 360 | Pitch: -6.80
I (8734) example: Throttle: 360 | Pitch: -6.77
I (8744) example: Throttle: 360 | Pitch: -6.66
I (8754) example: Throttle: 360 | Pitch: -6.56
I (8764) example: Throttle: 360 | Pitch: -6.52
I (8774) example: Throttle: 360 | Pitch: -6.40
I (8784) example: Throttle: 360 | Pitch: -6.38
I (8794) example: Throttle: 360 | Pitch: -6.30
I (8804) example: Throttle: 360 | Pitch: -6.23
I (8814) example: Throttle: 370 | Pitch: -6.24
I (8824) example: Throttle: 370 | Pitch: -6.15
I (8834) example: Throttle: 370 | Pitch: -6.09
I (8844) example: Throttle: 370 | Pitch: -6.02
I (8854) example: Throttle: 370 | Pitch: -5.95
I (8864) example: Throttle: 370 | Pitch: -5.93
I (8874) example: Throttle: 370 | Pitch: -5.86
I (8884) example: Throttle: 370 | Pitch: -5.79
I (8894) example: Throttle: 370 | Pitch: -5.73
I (8904) example: Throttle: 370 | Pitch: -5.74
I (8914) example: Throttle: 370 | Pitch: -5.63
I (8924) example: Throttle: 370 | Pitch: -5.69
I (8934) example: Throttle: 370 | Pitch: -5.79
I (8944) example: Throttle: 370 | Pitch: -5.88
I (8954) example: Throttle: 370 | Pitch: -5.99
I (8964) example: Throttle: 370 | Pitch: -6.13
I (8974) example: Throttle: 370 | Pitch: -6.19
I (8984) example: Throttle: 370 | Pitch: -6.30
I (8994) example: Throttle: 370 | Pitch: -6.38
I (9004) example: Throttle: 370 | Pitch: -6.42
I (9014) example: Throttle: 380 | Pitch: -6.48
I (9024) example: Throttle: 380 | Pitch: -6.48
I (9034) example: Throttle: 380 | Pitch: -6.54
I (9044) example: Throttle: 380 | Pitch: -6.61
I (9054) example: Throttle: 380 | Pitch: -6.62
I (9064) example: Throttle: 380 | Pitch: -6.61
I (9074) example: Throttle: 380 | Pitch: -6.68
I (9084) example: Throttle: 380 | Pitch: -6.83
I (9094) example: Throttle: 380 | Pitch: -6.93
I (9104) example: Throttle: 380 | Pitch: -6.88
I (9114) example: Throttle: 380 | Pitch: -6.75
I (9124) example: Throttle: 380 | Pitch: -6.68
I (9134) example: Throttle: 380 | Pitch: -6.54
I (9144) example: Throttle: 380 | Pitch: -6.51
I (9154) example: Throttle: 380 | Pitch: -6.48
I (9164) example: Throttle: 380 | Pitch: -6.46
I (9174) example: Throttle: 380 | Pitch: -6.43
I (9184) example: Throttle: 380 | Pitch: -6.42
I (9194) example: Throttle: 380 | Pitch: -6.40
I (9204) example: Throttle: 380 | Pitch: -6.31
I (9214) example: Throttle: 390 | Pitch: -6.22
I (9224) example: Throttle: 390 | Pitch: -6.24
I (9234) example: Throttle: 390 | Pitch: -6.29
I (9244) example: Throttle: 390 | Pitch: -6.36
I (9254) example: Throttle: 390 | Pitch: -6.42
I (9264) example: Throttle: 390 | Pitch: -6.35
I (9274) example: Throttle: 390 | Pitch: -6.31
I (9284) example: Throttle: 390 | Pitch: -6.40
I (9294) example: Throttle: 390 | Pitch: -6.43
I (9304) example: Throttle: 390 | Pitch: -6.41
I (9314) example: Throttle: 390 | Pitch: -6.21
I (9324) example: Throttle: 390 | Pitch: -6.02
I (9334) example: Throttle: 390 | Pitch: -6.01
I (9344) example: Throttle: 390 | Pitch: -6.01
I (9354) example: Throttle: 390 | Pitch: -6.04
I (9364) example: Throttle: 390 | Pitch: -5.85
I (9374) example: Throttle: 390 | Pitch: -5.91
I (9384) example: Throttle: 390 | Pitch: -6.05
I (9394) example: Throttle: 390 | Pitch: -6.09
I (9404) example: Throttle: 390 | Pitch: -6.12
I (9414) example: Throttle: 400 | Pitch: -5.95
I (9424) example: Throttle: 400 | Pitch: -6.19
I (9434) example: Throttle: 400 | Pitch: -6.22
I (9444) example: Throttle: 400 | Pitch: -6.19
I (9454) example: Throttle: 400 | Pitch: -6.22
I (9464) example: Throttle: 400 | Pitch: -6.25
I (9474) example: Throttle: 400 | Pitch: -6.21
I (9484) example: Throttle: 400 | Pitch: -6.18
I (9494) example: Throttle: 400 | Pitch: -6.38
I (9504) example: Throttle: 400 | Pitch: -6.42
I (9514) example: Throttle: 400 | Pitch: -6.14
I (9524) example: Throttle: 400 | Pitch: -6.07
I (9534) example: Throttle: 400 | Pitch: -6.02
I (9544) example: Throttle: 400 | Pitch: -5.73
I (9554) example: Throttle: 400 | Pitch: -5.72
I (9564) example: Throttle: 400 | Pitch: -5.77
I (9574) example: Throttle: 400 | Pitch: -5.79
I (9584) example: Throttle: 400 | Pitch: -5.76
I (9594) example: Throttle: 400 | Pitch: -5.94
I (9604) example: Throttle: 400 | Pitch: -6.01
I (9614) example: Throttle: 410 | Pitch: -5.96
I (9624) example: Throttle: 410 | Pitch: -5.77
I (9634) example: Throttle: 410 | Pitch: -5.76
I (9644) example: Throttle: 410 | Pitch: -5.57
I (9654) example: Throttle: 410 | Pitch: -5.33
I (9664) example: Throttle: 410 | Pitch: -5.45
I (9674) example: Throttle: 410 | Pitch: -5.34
I (9684) example: Throttle: 410 | Pitch: -5.62
I (9694) example: Throttle: 410 | Pitch: -5.67
I (9704) example: Throttle: 410 | Pitch: -5.56
I (9714) example: Throttle: 410 | Pitch: -5.49
I (9724) example: Throttle: 410 | Pitch: -5.50
I (9734) example: Throttle: 410 | Pitch: -5.34
I (9744) example: Throttle: 410 | Pitch: -5.47
I (9754) example: Throttle: 410 | Pitch: -5.48
I (9764) example: Throttle: 410 | Pitch: -5.65
I (9774) example: Throttle: 410 | Pitch: -5.68
I (9784) example: Throttle: 410 | Pitch: -5.47
I (9794) example: Throttle: 410 | Pitch: -5.36
I (9804) example: Throttle: 410 | Pitch: -5.32
I (9814) example: Throttle: 420 | Pitch: -5.28
I (9824) example: Throttle: 420 | Pitch: -5.39
I (9834) example: Throttle: 420 | Pitch: -5.61
I (9844) example: Throttle: 420 | Pitch: -5.63
I (9854) example: Throttle: 420 | Pitch: -5.62
I (9864) example: Throttle: 420 | Pitch: -5.26
I (9874) example: Throttle: 420 | Pitch: -5.19
I (9884) example: Throttle: 420 | Pitch: -5.00
I (9894) example: Throttle: 420 | Pitch: -5.14
I (9904) example: Throttle: 420 | Pitch: -5.70
I (9914) example: Throttle: 420 | Pitch: -5.80
I (9924) example: Throttle: 420 | Pitch: -5.64
I (9934) example: Throttle: 420 | Pitch: -5.33
I (9944) example: Throttle: 420 | Pitch: -5.17
I (9954) example: Throttle: 420 | Pitch: -5.35
I (9964) example: Throttle: 420 | Pitch: -5.54
I (9974) example: Throttle: 420 | Pitch: -5.81
I (9984) example: Throttle: 420 | Pitch: -5.73
I (9994) example: Throttle: 420 | Pitch: -5.41
I (10004) example: Throttle: 420 | Pitch: -5.30
I (10014) example: Throttle: 430 | Pitch: -5.19
I (10024) example: Throttle: 430 | Pitch: -5.38
I (10034) example: Throttle: 430 | Pitch: -5.74
I (10044) example: Throttle: 430 | Pitch: -5.86
I (10054) example: Throttle: 430 | Pitch: -5.35
I (10064) example: Throttle: 430 | Pitch: -5.22
I (10074) example: Throttle: 430 | Pitch: -5.34
I (10084) example: Throttle: 430 | Pitch: -5.56
I (10094) example: Throttle: 430 | Pitch: -5.86
I (10104) example: Throttle: 430 | Pitch: -5.83
I (10114) example: Throttle: 430 | Pitch: -5.63
I (10124) example: Throttle: 430 | Pitch: -5.59
I (10134) example: Throttle: 430 | Pitch: -5.67
I (10144) example: Throttle: 430 | Pitch: -6.03
I (10154) example: Throttle: 430 | Pitch: -6.07
I (10164) example: Throttle: 430 | Pitch: -5.78
I (10174) example: Throttle: 430 | Pitch: -5.56
I (10184) example: Throttle: 430 | Pitch: -5.61
I (10194) example: Throttle: 430 | Pitch: -5.91
I (10204) example: Throttle: 430 | Pitch: -6.15
I (10214) example: Throttle: 440 | Pitch: -6.08
I (10224) example: Throttle: 440 | Pitch: -5.68
I (10234) example: Throttle: 440 | Pitch: -5.46
I (10244) example: Throttle: 440 | Pitch: -5.64
I (10254) example: Throttle: 440 | Pitch: -5.95
I (10264) example: Throttle: 440 | Pitch: -5.90
I (10274) example: Throttle: 440 | Pitch: -5.72
I (10284) example: Throttle: 440 | Pitch: -5.65
I (10294) example: Throttle: 440 | Pitch: -5.71
I (10304) example: Throttle: 440 | Pitch: -5.89
I (10314) example: Throttle: 440 | Pitch: -5.88
I (10324) example: Throttle: 440 | Pitch: -5.68
I (10334) example: Throttle: 440 | Pitch: -5.61
I (10344) example: Throttle: 440 | Pitch: -5.59
I (10354) example: Throttle: 440 | Pitch: -5.77
I (10364) example: Throttle: 440 | Pitch: -5.77
I (10374) example: Throttle: 440 | Pitch: -5.45
I (10384) example: Throttle: 440 | Pitch: -5.47
I (10394) example: Throttle: 440 | Pitch: -5.53
I (10404) example: Throttle: 440 | Pitch: -5.66
I (10414) example: Throttle: 450 | Pitch: -5.57
I (10424) example: Throttle: 450 | Pitch: -4.81
I (10434) example: Throttle: 450 | Pitch: -4.90
I (10444) example: Throttle: 450 | Pitch: -4.88
I (10454) example: Throttle: 450 | Pitch: -5.08
I (10464) example: Throttle: 450 | Pitch: -5.12
I (10474) example: Throttle: 450 | Pitch: -4.46
I (10484) example: Throttle: 450 | Pitch: -4.65
I (10494) example: Throttle: 450 | Pitch: -4.86
I (10504) example: Throttle: 450 | Pitch: -4.64
I (10514) example: Throttle: 450 | Pitch: -4.21
I (10524) example: Throttle: 450 | Pitch: -4.39
I (10534) example: Throttle: 450 | Pitch: -4.63
I (10544) example: Throttle: 450 | Pitch: -4.67
I (10554) example: Throttle: 450 | Pitch: -4.64
I (10564) example: Throttle: 450 | Pitch: -4.42
I (10574) example: Throttle: 450 | Pitch: -4.47
I (10584) example: Throttle: 450 | Pitch: -4.58
I (10594) example: Throttle: 450 | Pitch: -4.56
I (10604) example: Throttle: 450 | Pitch: -4.19
I (10614) example: Throttle: 460 | Pitch: -4.41
I (10624) example: Throttle: 460 | Pitch: -4.59
I (10634) example: Throttle: 460 | Pitch: -4.24
I (10644) example: Throttle: 460 | Pitch: -3.75
I (10654) example: Throttle: 460 | Pitch: -3.78
I (10664) example: Throttle: 460 | Pitch: -4.11
I (10674) example: Throttle: 460 | Pitch: -3.77
I (10684) example: Throttle: 460 | Pitch: -3.28
I (10694) example: Throttle: 460 | Pitch: -3.39
I (10704) example: Throttle: 460 | Pitch: -3.45
I (10714) example: Throttle: 460 | Pitch: -3.42
I (10724) example: Throttle: 460 | Pitch: -3.46
I (10734) example: Throttle: 460 | Pitch: -3.99
I (10744) example: Throttle: 460 | Pitch: -3.99
I (10754) example: Throttle: 460 | Pitch: -3.95
I (10764) example: Throttle: 460 | Pitch: -3.95
I (10774) example: Throttle: 460 | Pitch: -4.36
I (10784) example: Throttle: 460 | Pitch: -4.37
I (10794) example: Throttle: 460 | Pitch: -4.25
I (10804) example: Throttle: 460 | Pitch: -4.34
I (10814) example: Throttle: 470 | Pitch: -4.95
I (10824) example: Throttle: 470 | Pitch: -4.85
I (10834) example: Throttle: 470 | Pitch: -4.77
I (10844) example: Throttle: 470 | Pitch: -5.10
I (10854) example: Throttle: 470 | Pitch: -5.61
I (10864) example: Throttle: 470 | Pitch: -5.44
I (10874) example: Throttle: 470 | Pitch: -5.35
I (10884) example: Throttle: 470 | Pitch: -5.93
I (10894) example: Throttle: 470 | Pitch: -6.11
I (10904) example: Throttle: 470 | Pitch: -5.77
I (10914) example: Throttle: 470 | Pitch: -5.65
I (10924) example: Throttle: 470 | Pitch: -6.19
I (10934) example: Throttle: 470 | Pitch: -6.10
I (10944) example: Throttle: 470 | Pitch: -6.07
I (10954) example: Throttle: 470 | Pitch: -6.48
I (10964) example: Throttle: 470 | Pitch: -6.59
I (10974) example: Throttle: 470 | Pitch: -6.11
I (10984) example: Throttle: 470 | Pitch: -6.10
I (10994) example: Throttle: 470 | Pitch: -6.36
I (11004) example: Throttle: 470 | Pitch: -6.40
I (11014) example: Throttle: 480 | Pitch: -6.03
I (11024) example: Throttle: 480 | Pitch: -6.07
I (11034) example: Throttle: 480 | Pitch: -6.55
I (11044) example: Throttle: 480 | Pitch: -5.96
I (11054) example: Throttle: 480 | Pitch: -5.86
I (11064) example: Throttle: 480 | Pitch: -6.08
I (11074) example: Throttle: 480 | Pitch: -6.01
I (11084) example: Throttle: 480 | Pitch: -5.99
I (11094) example: Throttle: 480 | Pitch: -6.39
I (11104) example: Throttle: 480 | Pitch: -6.70
I (11114) example: Throttle: 480 | Pitch: -5.75
I (11124) example: Throttle: 480 | Pitch: -5.92
I (11134) example: Throttle: 480 | Pitch: -6.52
I (11144) example: Throttle: 480 | Pitch: -5.89
